mult,pT,eta
26,16.2884,71.5316
22,7.32643,-29.6415
12,4.91235,46.6626
44,19.0196,-25.3076
24,7.38178,100.088
16,6.17312,46.7585
26,10.3758,-33.0163
22,7.5453,88.3344
4,0.719092,-17.0786
32,11.3909,48.573
28,9.14991,43.3974
26,13.7992,96.0704
30,10.4873,80.8293
22,10.7419,-25.3111
12,2.82531,-8.24034
22,8.77936,6.71063
30,13.4848,40.8223
50,18.4377,93.4073
22,7.24027,30.2245
22,8.31322,88.9558
36,11.1924,-112.577
40,10.8157,101.598
22,8.90125,12.7635
76,30.0427,-21.4887
30,9.60612,-26.1772
6,2.33208,28.7163
18,7.93059,-23.5902
24,7.089,24.2617
14,6.43351,-12.7885
22,5.87937,-96.0656
44,22.2371,-1.60416
74,34.7048,-95.4843
10,2.86322,26.9348
50,22.2019,-73.1871
14,4.9896,18.5953
6,1.85293,2.10399
12,4.02314,-60.4898
34,10.9764,-4.72744
20,7.97848,67.7606
26,10.3285,74.6622
22,7.03899,1.1669
2,0.618217,3.13952
32,13.1738,75.5759
34,12.1873,-57.1424
32,11.6119,-48.518
16,5.0726,-41.2457
24,7.71187,36.8089
16,4.38067,67.028
20,10.2942,50.1506
32,9.97233,33.7017
22,10.9011,-55.1082
50,15.7001,-119.977
34,15.8332,-116.411
18,7.89336,-30.4825
44,18.5677,-81.1745
16,4.77479,-35.0857
20,9.00805,-92.7842
4,1.26301,-18.0098
32,13.0368,-80.2868
26,8.36077,-54.5896
28,11.289,-23.7896
10,2.6982,2.55653
34,13.164,39.1273
42,19.4114,103.155
16,5.80907,18.6464
28,13.2099,17.8441
32,16.3998,60.9047
26,9.32319,23.7022
8,1.49102,-11.8326
6,3.69553,23.7615
36,11.3824,-60.4667
72,33.4142,-72.9128
52,19.1984,-93.0605
18,7.38015,71.3796
4,0.577746,-18.9289
38,15.6306,-93.4371
40,18.1498,28.2073
62,29.1347,143.723
20,8.06227,32.3337
20,6.33537,42.6883
12,3.983,-48.209
16,6.6296,28.8843
52,21.5134,-61.6955
