mult,pT,eta
34,11.4508,-48.1549
4,1.25775,0.173466
24,8.66719,-35.9405
12,4.43578,-31.715
14,4.08932,-1.72811
14,4.6636,8.51546
18,5.3642,30.6396
32,12.8006,-22.8765
4,1.17028,-9.50753
6,1.41767,17.2383
6,2.7995,-13.0223
6,1.45352,14.2452
12,6.11071,-20.8576
32,9.72995,-92.8557
16,4.65781,17.9807
24,9.5884,44.0272
4,1.93964,3.2113
14,3.6744,-3.58764
24,8.37452,-21.8746
10,2.97775,-0.242036
28,9.13108,28.7959
6,1.51401,-22.7373
12,3.92768,65.0244
22,6.91725,33.7491
20,8.60938,19.1311
6,1.99616,-19.1222
6,2.00205,3.12789
4,1.41528,-7.88208
4,1.15579,1.89147
8,2.76891,-8.39561
28,9.03196,-50.6474
12,4.22175,32.4156
6,2.08051,-18.5553
12,4.00361,-9.98651
14,5.04911,-47.5838
12,4.37197,15.5303
6,2.42096,14.3066
4,0.953584,10.6256
6,2.0906,-18.3583
4,1.29398,7.67726
12,3.23534,-6.24415
24,9.93105,21.8036
8,2.40488,6.18651
4,1.14156,0.527585
4,1.51509,12.3048
16,4.72307,30.786
6,3.03421,-7.95269
24,6.69879,-4.49904
4,1.65369,15.3948
4,1.06519,12.8547
4,1.81142,-7.11128
16,6.01893,30.7992
4,1.26322,12.0646
24,9.72214,-17.6156
6,2.13235,6.74442
6,1.41712,-21.0866
4,2.3196,-10.341
4,0.829873,-8.91517
20,7.48516,-27.6089
10,2.22408,-22.0672
4,1.32653,-10.9088
24,7.53935,-17.9332
28,12.2649,6.59688
16,5.36363,46.459
4,1.27093,8.80112
4,1.13068,14.1857
6,1.89586,-5.88345
10,3.71393,-30.948
2,0.685814,-0.251805
14,4.23086,-40.4685
34,9.82336,-46.9672
8,3.59106,21.61
6,1.94049,11.2949
38,14.446,-24.3826
4,0.815264,-6.99014
24,8.12106,9.76634
28,10.1803,24.8201
14,7.97938,-9.73152
14,5.09369,-8.35888
4,1.77752,8.66295
8,1.94423,-18.2597
12,4.62309,14.0618
14,3.81167,51.1584
6,2.25224,-20.4925
4,1.30489,8.74592
32,10.3584,-8.44328
10,4.29143,-25.4879
16,6.91105,-21.7019
32,13.485,-25.5449
4,2.54555,-9.6692
24,9.85972,18.0867
40,14.1686,-20.5214
14,4.23619,20.1927
10,2.69042,-41.8949
4,1.60237,-11.7786
34,14.8501,19.9525
20,6.75329,6.11091
28,7.66828,52.0248
6,2.21604,25.057
20,6.45999,5.29573
10,3.89551,26.0328
10,5.19709,-22.0513
4,0.789654,-15.7942
14,6.22873,-0.983364
4,1.7343,-14.9489
18,6.80092,-2.49415
4,1.57164,7.14887
14,6.60973,56.5165
12,3.97015,38.7643
24,7.66011,49.3554
20,7.11938,18.8571
14,5.41198,42.6166
34,12.928,9.46908
6,1.85007,-23.0218
12,4.5944,25.7982
6,1.64484,12.7233
16,7.2143,-45.5511
20,7.2216,36.7106
4,1.79492,2.99743
22,8.29476,4.60096
4,1.57488,-1.51276
20,7.49023,-17.7465
10,4.16,-29.0783
14,5.10922,-25.503
4,2.03515,-1.72396
6,2.71009,-6.91562
4,1.15306,-3.00311
12,3.92032,13.1902
26,9.44405,15.7807
28,11.3149,41.3147
4,0.970611,3.53859
4,1.08074,3.51629
4,1.75305,-11.935
