mult,pT,eta
60,23.9372,7.49266
14,4.33357,-70.1521
4,1.29925,-16.1028
6,1.56834,-24.5099
18,6.84033,-56.2943
4,0.589064,15.417
10,4.06382,-47.6725
24,8.18786,-76.2686
64,26.9585,-172.212
20,8.09301,98.0251
60,41.4423,-117.613
52,22.6937,-45.9873
22,7.1753,61.4908
40,14.317,-31.3302
4,1.06334,16.3719
52,20.529,119.737
10,4.08467,-35.8091
28,10.8629,-107.684
54,20.4445,-99.5156
10,2.94586,-29.5086
40,18.1381,-131.749
54,24.7333,113.18
10,2.76441,51.4047
56,28.5193,-56.8287
30,12.073,61.9793
54,19.2493,148.551
36,11.5357,84.2582
20,6.55495,87.2237
26,11.4934,-33.6929
26,9.94386,63.1517
12,5.83621,-68.0895
52,26.306,80.4358
62,26.7106,101.993
12,6.16824,56.8571
44,15.8761,23.373
2,0.406588,3.36245
4,1.17711,-12.0046
20,6.94943,62.2151
28,10.5699,-106.537
2,0.821679,0.552197
26,9.08773,58.0085
58,29.1824,-68.4418
28,9.65349,-99.1788
32,13.9257,20.4588
42,17.6402,27.6605
40,16.4612,96.5419
20,7.27633,-86.3444
4,1.08516,-13.1209
22,6.24137,-105.987
10,4.59704,-51.3508
42,18.4995,-69.6303
2,0.684111,-0.571471
46,19.064,32.5441
36,14.9038,-77.8158
38,16.3853,11.9617
52,18.9394,25.8069
4,1.33663,-15.5877
12,6.6651,37.1689
24,9.8243,-37.4806
26,11.3335,84.939
4,0.916196,7.71366
6,2.1578,19.119
22,8.41175,-114.837
58,19.2824,-114.984
74,29.81,124.172
36,15.6105,75.0633
80,42.6196,-102.789
2,0.356773,2.23304
6,1.13972,-26.0193
14,3.11941,75.1859
2,0.775102,-0.798455
98,47.7322,24.325
4,1.47398,10.8929
40,17.4615,100.127
14,7.55532,68.4976
60,34.6151,73.9568
54,22.0253,-127.311
36,14.6355,-140.11
4,3.00056,-14.2968
4,1.73852,14.9811
8,2.89471,-32.9775
72,36.4728,43.31
4,2.02652,-11.7372
14,4.66491,62.1908
24,9.06042,20.1125
26,9.04877,-60.5125
40,12.6418,-26.4575
34,12.2419,27.6808
30,11.6315,-103.949
2,0.264063,0.0646607
8,2.10746,-42.1332
82,43.443,-141.359
4,0.885083,15.0284
20,8.69069,95.5784
44,17.697,-44.7062
14,3.71392,-68.4894
8,3.3242,-40.1418
8,1.9393,-42.4949
2,0.682347,-2.20666
16,6.46711,-62.1395
24,9.81657,-59.1181
6,1.77391,23.0548
58,28.2655,-56.926
30,11.3545,-65.279
108,53.6148,144.907
36,11.8466,150.139
2,0.589736,0.840207
4,0.590141,11.5999
10,3.47221,44.2188
74,39.5413,5.96132
4,0.643878,15.669
4,0.885455,16.6642
2,0.55536,2.66558
30,12.892,-38.3325
24,8.19941,57.8506
4,1.47181,-12.4693
32,13.6384,46.5703
16,6.39515,-53.4829
34,12.4502,126.794
28,10.5827,-69.4491
2,0.514053,3.41688
48,16.9972,97.7078
2,0.542699,0.753995
32,9.67207,-83.2613
8,3.08052,36.7113
12,3.47571,33.6101
24,13.1493,76.7285
4,1.45338,12.491
8,1.81659,39.367
2,0.632417,2.45654
110,62.5655,-13.5883
46,19.2684,-127.042
2,0.738767,3.74891
46,17.3177,-113.622
62,21.8266,-67.3771
50,35.8313,-1.46203
14,4.17041,9.34368
102,41.72,92.429
76,35.0613,169.114
22,7.18433,82.9981
8,3.82621,-25.1456
44,14.4284,33.2285
30,10.8182,-52.699
4,1.16895,8.86591
10,4.95609,43.6182
70,42.5434,-14.5934
2,0.425656,3.62162
66,36.0577,61.1664
38,14.3437,-164.021
26,14.8078,98.4633
2,0.649411,2.88372
8,2.45971,-42.6721
74,42.2285,40.0879
14,5.80934,63.2779
30,9.13608,122.899
52,21.7341,21.351
2,0.513863,-2.21283
54,24.3908,2.54359
24,8.4816,21.09
44,14.1762,-16.5707
24,9.65774,-64.9189
22,9.57138,-95.4885
40,14.7359,11.7663
2,0.692719,-0.838313
4,1.3175,-14.1841
46,19.2392,107.034
22,9.40504,-70.798
38,15.0719,-106.767
44,16.6947,-36.4351
8,3.75839,36.7448
22,8.00528,-13.7156
98,49.1141,-102.17
4,0.8188,-15.3124
32,12.0479,-37.9099
16,4.72687,-42.5756
4,1.55117,-17.6199
10,3.89269,-56.1282
60,26.5812,77.9849
8,2.36288,44.4826
44,18.4183,44.0906
2,0.331561,2.3796
24,12.3858,-87.2915
44,14.5242,-64.7395
6,1.35887,-31.1928
20,8.79586,95.519
48,17.1066,102.245
34,12.919,77.119
2,0.45938,-1.15926
6,2.90557,24.0223
14,5.2278,70.3099
2,0.74298,-0.606862
8,3.1405,28.1167
14,4.8445,-66.4978
2,0.841705,-0.483745
12,3.97197,58.6444
2,0.556134,-0.572694
84,33.9855,-7.8529
12,2.96796,-59.5588
40,13.9341,169.072
12,5.32157,57.091
2,0.424788,0.649601
2,0.679782,-5.08009
60,24.8694,13.0811
4,0.934895,-15.7734
12,5.10497,-50.3253
72,37.5066,100.255
8,2.52853,39.9449
24,9.52364,-101.355
16,4.27551,78.8285
2,0.140287,1.37207
38,15.1294,-29.9007
12,4.47365,52.8457
24,8.8843,81.1665
8,2.08088,39.7672
30,10.55,13.3406
38,14.6126,-133.823
52,19.5626,117.045
32,13.3923,49.0331
64,30.5703,-120.994
34,14.9103,67.333
2,0.554725,-3.40634
24,9.56108,-95.2408
62,26.2721,-44.4005
2,0.692746,-2.22154
32,12.8208,-93.8219
38,12.3514,56.9657
16,5.63666,35.9619
82,36.7287,-6.18397
24,10.584,-61.123
20,6.92515,-76.3384
2,1.09005,1.66629
56,24.7855,134.24
2,0.581511,-0.0705931
92,43.9229,-126.173
26,9.02624,-21.7988
106,52.2861,-94.0533
6,2.37334,27.6233
2,0.669923,-0.158509
36,12.8465,50.1963
8,2.42554,38.6785
8,2.7204,-36.1081
26,10.8377,-96.9748
10,3.73351,-50.2497
12,5.62861,56.7816
12,5.64331,-59.2752
14,4.97599,-51.8588
56,19.4245,133.425
26,10.1856,-103.951
4,1.27189,13.3383
2,0.631386,3.40303
78,32.2587,-36.2252
16,4.42223,72.4943
18,9.53716,68.6072
46,19.5715,-108.634
