mult,pT,eta
2,1.19078,-0.629303
38,14.9524,-18.3398
16,5.49497,42.8984
48,24.0943,-125.603
14,4.8805,16.2957
38,15.2449,-109.704
2,0.403086,3.69439
16,6.27552,-33.0482
8,2.68718,40.0922
18,6.83637,38.1597
22,9.92734,63.2623
48,17.7903,74.0069
26,9.49454,85.2082
26,10.0721,87.4424
32,11.2733,83.1598
16,5.56679,77.2022
50,16.7429,131.746
22,6.46607,-54.725
48,19.8093,96.3423
40,16.5473,11.3499
2,0.714272,1.93262
44,16.7625,-104.798
4,0.809701,-10.7617
22,8.47969,27.6623
34,12.8286,-157.131
64,52.0978,18.5549
4,1.15701,15.8445
26,9.83714,18.8836
46,26.0471,-61.5604
84,35.857,171.629
24,8.98449,-108.841
8,2.03501,-30.7355
42,22.3787,46.1309
34,11.906,-77.2049
6,1.83257,15.0092
32,16.483,-65.9449
40,18.2379,-46.7324
12,4.82466,39.493
8,2.67478,-7.47371
10,1.85405,53.6308
28,10.4011,82.179
16,6.71366,-57.1398
40,13.6053,-2.9754
30,12.0721,-52.6085
32,12.9983,-40.6346
4,1.12645,18.7873
32,12.32,54.0297
52,23.4789,96.2939
66,24.3492,62.8691
70,33.9253,11.6018
16,6.88752,74.6557
20,9.25254,-88.8595
4,1.17064,-10.3564
12,5.06217,59.159
32,13.992,-49.0883
60,28.4688,-86.1691
22,8.65683,-56.9688
26,7.77982,-90.7146
2,0.45694,0.0153211
50,19.9511,-98.6142
32,14.0584,-51.1196
72,27.8697,-28.6473
14,4.40854,71.3675
70,25.9113,-14.3035
24,7.69314,-42.0917
2,0.441213,-1.04155
2,0.594897,4.27294
16,5.96739,-70.1476
20,6.29974,57.297
24,8.656,20.0112
6,3.38915,-19.7407
4,1.65369,1.62266
24,7.85474,-75.6138
14,5.13756,65.0114
20,8.26375,-35.0762
42,14.6753,-60.0706
20,8.01473,43.3056
22,8.94786,47.8404
40,16.9256,-122.171
48,21.0534,37.6028
16,5.84542,32.7467
34,10.4257,-30.863
98,57.4953,53.3485
18,7.15957,-56.2997
30,10.0903,-18.0556
20,6.68321,98.3113
10,3.31878,-50.3393
8,2.2087,-42.5209
10,5.02327,-39.5715
34,16.1397,-94.1197
8,2.77552,30.2663
14,5.68769,61.0849
42,16.0054,-48.892
16,6.63346,-77.8053
2,0.507032,-0.49588
86,47.8955,-10.4135
30,11.3098,94.4559
6,2.13937,12.4098
2,1.04193,0.0781943
12,3.90547,-62.5545
36,9.62917,-79.9774
4,0.907137,-9.85644
4,0.70931,-0.746547
32,13.6734,28.0416
4,1.77156,-13.4498
26,8.80265,-32.3657
42,17.6032,130.651
50,21.6136,-87.6271
4,1.26837,-16.3735
36,15.4601,44.742
30,10.4167,73.0845
32,16.5775,-47.8485
36,14.4366,51.8833
54,28.1959,17.5134
24,7.67416,-62.1772
38,14.9455,118.853
24,8.05356,-103.894
34,14.0827,29.3339
34,13.9303,20.3063
18,9.70801,-63.2722
10,3.07977,-53.2921
12,4.62233,40.4562
30,11.4498,118.033
40,17.3506,49.9295
4,0.547745,14.8819
44,19.8483,-111.142
46,17.8183,0.350975
4,1.52606,-9.57308
6,2.31974,-21.9703
26,7.80955,-44.011
34,12.782,88.7639
30,11.585,-2.1293
16,6.62066,-24.3762
2,0.265364,-1.79798
18,7.20082,-66.4742
8,2.19115,36.0592
4,0.58052,-15.9704
42,12.9344,-71.2151
6,1.11989,30.0187
20,6.1673,-43.0924
36,14.1799,-58.0089
20,8.33575,81.7959
6,1.54242,-25.1508
4,1.08011,-10.1646
22,8.2987,1.41742
32,12.204,14.3801
4,1.42788,-17.8641
12,2.61582,-29.8529
18,5.43761,-88.3895
20,6.17514,25.7351
18,6.5318,-15.0354
50,16.2568,9.94446
4,2.17388,-12.3871
54,20.2005,126.127
4,1.27404,-1.24811
6,1.65984,-29.0596
48,24.5223,-70.6119
26,10.9563,9.25858
8,2.87598,-37.3581
8,2.02458,-36.7403
20,7.42357,69.9077
2,0.616845,4.13515
2,0.830719,-0.349669
22,8.53773,-92.8889
114,45.7895,-118.613
16,6.49228,44.5799
20,8.90379,89.2387
4,1.14724,14.4751
68,25.558,-55.2883
32,13.2386,89.7263
6,1.63894,5.9113
4,1.38232,14.1491
6,1.69855,20.6152
18,6.5151,-63.5864
66,41.3337,-11.0099
32,9.89504,65.6024
30,14.126,102.577
32,9.51667,9.52663
32,12.7328,-48.4085
14,4.33249,-70.1299
28,10.8808,56.1475
24,7.93405,53.0901
16,6.67478,-73.1266
2,0.784033,0.982415
24,10.8049,-69.8891
62,32.493,109.729
14,6.70735,-55.912
24,5.90139,-30.1882
2,0.324906,-0.616598
50,16.4854,49.994
20,9.63581,31.9198
34,14.7171,135.781
22,8.18588,60.5932
